strategy,symbol,direction,signal_time,candle,entry,sl,tp,margin,notional,adx,outcome,exit_price,exit_time,bars_held,pnl_pct,pnl_usdt,s2_zone,s2_dist,s2_slope,s2_h4,s2_atr
S2_MA44_BOUNCE,FETUSDT,SHORT,2026-04-28 02:45 UTC,TRIGGER,0.2027,0.2068,0.1905,16.65,249.74999999999997,20.8,OPEN,,,108,,,B,0.571,-0.245,FALLING,0.401
S1_EMA_CROSS,DOTUSDT,SHORT,2026-04-28 07:15 UTC,N+1,1.223,1.229,1.205,20.0,1000.0,29.9,LOSS,1.229,2026-04-28 13:30 UTC,25,-0.491,-4.91,,,,,
S1_EMA_CROSS,TRXUSDT,SHORT,2026-04-28 15:15 UTC,N,0.3226,0.3242,0.3178,20.0,1000.0,29.0,OPEN,,,57,,,,,,,
S2_MA44_BOUNCE,BARDUSDT,SHORT,2026-04-28 17:00 UTC,TRIGGER,0.2826,0.2883,0.2656,16.65,249.74999999999997,22.0,LOSS,0.2883,2026-04-29 02:30 UTC,39,-2.017,-5.04,B,0.564,-0.15,FALLING,0.579
